month,game,avg_viewers,viewers_gain,viewers_pct_gain,peak_viewers,avg_streams,streams_gain,streams_pct_gain,peak_streams,hours_watched,peak_players,peak_gain,peak_pct_gain,avg_players,avg_pct_gain,trends_score
2024-08-01,among_us,2462.0,-485.0,-16.5,104083.0,80.0,-11.0,-12.1,237.0,1740000.0,10106.0,-76.0,-0.7,5216.0,-0.1,
2024-09-01,among_us,2622.0,160.0,6.5,70568.0,70.0,-10.0,-12.5,222.0,1930000.0,11029.0,923.0,9.1,4695.0,-10.0,
2024-10-01,among_us,2888.0,266.0,10.1,104216.0,64.0,-6.0,-8.6,196.0,2080000.0,10700.0,-329.0,-3.0,4519.0,-3.7,
2024-11-01,among_us,2889.0,1.0,,74518.0,67.0,3.0,4.7,201.0,2150000.0,10610.0,-90.0,-0.8,4442.0,-1.7,
2024-12-01,among_us,5716.0,2827.0,97.9,116857.0,77.0,10.0,14.9,261.0,4240000.0,13999.0,3389.0,31.9,4848.0,9.1,
2025-01-01,among_us,4372.0,-1344.0,-23.5,114629.0,78.0,1.0,1.3,273.0,2930000.0,14911.0,912.0,6.5,5560.0,14.7,
2025-02-01,among_us,2980.0,-1392.0,-31.8,75013.0,81.0,3.0,3.8,352.0,2210000.0,14312.0,-599.0,-4.0,4860.0,-12.6,
2025-03-01,among_us,2323.0,-657.0,-22.0,60975.0,57.0,-24.0,-29.6,189.0,1670000.0,11115.0,-3197.0,-22.3,4418.0,-9.1,
2025-04-01,among_us,2916.0,593.0,25.5,83442.0,61.0,4.0,7.0,184.0,2170000.0,7504.0,-3611.0,-32.5,3397.0,-23.1,
2025-05-01,among_us,1851.0,-1065.0,-36.5,63223.0,60.0,-1.0,-1.6,188.0,1330000.0,7106.0,-398.0,-5.3,3335.0,-1.8,
2025-06-01,among_us,2355.0,504.0,27.2,85613.0,60.0,,,178.0,1750000.0,9391.0,2285.0,32.2,4465.0,33.9,
2025-07-01,among_us,2325.0,-30.0,-1.3,123673.0,59.0,-1.0,-1.7,159.0,1730000.0,11518.0,2127.0,22.6,6181.0,38.4,
2025-08-01,among_us,1821.0,-504.0,-21.7,85745.0,58.0,-1.0,-1.7,200.0,1310000.0,10129.0,-1389.0,-12.1,5235.0,-15.3,
2025-09-01,among_us,2024.0,203.0,11.1,70270.0,58.0,,,216.0,1510000.0,12600.0,2471.0,24.4,5155.0,-1.5,
2025-10-01,among_us,2047.0,23.0,1.1,69098.0,55.0,-3.0,-5.2,181.0,1470000.0,12350.0,-250.0,-2.0,5035.0,-2.3,
2025-11-01,among_us,2300.0,253.0,12.4,164867.0,60.0,5.0,9.1,189.0,1710000.0,14400.0,2050.0,16.6,4976.0,-1.2,
2025-12-01,among_us,2482.0,182.0,7.9,210509.0,83.0,23.0,38.3,269.0,1830000.0,16298.0,1898.0,13.2,6075.0,22.1,
2026-01-01,among_us,2819.0,337.0,13.6,142456.0,74.0,-9.0,-10.8,236.0,1890000.0,20324.0,4026.0,24.7,8496.0,39.9,
2026-02-01,among_us,2319.0,-500.0,-17.7,89348.0,67.0,-7.0,-9.5,211.0,1730000.0,16297.0,-4027.0,-19.8,7121.0,-16.2,
2026-03-01,among_us,2625.0,306.0,13.2,122034.0,67.0,,,227.0,1510000.0,14860.0,-1437.0,-8.8,6596.0,-7.4,
2026-04-01,among_us,,,,,,,,,,14730.0,-130.0,-0.9,6676.0,1.2,
2020-06-01,fall_guys,33431.0,,,250502.0,147.0,,,1240.0,4960000.0,,,,,,0.0
2020-07-01,fall_guys,151685.0,118254.0,354.0,708865.0,3034.0,2887.0,20.0,7276.0,113000000.0,,,,,,3.0
2020-08-01,fall_guys,50055.0,-101630.0,-67.0,586332.0,1456.0,-1578.0,-52.0,4491.0,36000000.0,172213.0,,,,,100.0
2020-09-01,fall_guys,16040.0,-34015.0,-68.0,244346.0,617.0,-839.0,-57.6,2967.0,11900000.0,151933.0,-20280.0,-11.8,,,48.0
2020-10-01,fall_guys,7314.0,-8726.0,-54.4,247796.0,309.0,-308.0,-49.9,611.0,5260000.0,84090.0,-67843.0,-44.7,,,17.0
2020-11-01,fall_guys,8266.0,952.0,13.0,309629.0,330.0,21.0,6.8,1215.0,6140000.0,23148.0,-60942.0,-72.5,,,9.0
2020-12-01,fall_guys,5238.0,-3028.0,-36.6,76180.0,303.0,-27.0,-8.2,581.0,3890000.0,28892.0,5744.0,24.8,,,9.0
2021-01-01,fall_guys,4762.0,-476.0,-9.1,84783.0,260.0,-43.0,-14.2,487.0,3190000.0,20717.0,-8175.0,-28.3,,,6.0
2021-02-01,fall_guys,7172.0,2410.0,51.0,136796.0,323.0,63.0,24.2,1355.0,5320000.0,16687.0,-4030.0,-19.5,,,5.0
2021-03-01,fall_guys,5868.0,-1304.0,-18.2,118812.0,307.0,-16.0,-5.0,700.0,4210000.0,23591.0,6904.0,41.4,,,6.0
2021-04-01,fall_guys,4853.0,-1015.0,-17.3,63529.0,233.0,-74.0,-24.1,491.0,3600000.0,16260.0,-7331.0,-31.1,,,4.0
2021-05-01,fall_guys,5373.0,520.0,10.7,69567.0,188.0,-45.0,-19.3,385.0,3860000.0,12158.0,-4102.0,-25.2,,,5.0
2021-06-01,fall_guys,6530.0,1157.0,21.5,118503.0,249.0,61.0,32.4,745.0,4850000.0,13896.0,1738.0,14.3,,,4.0
2021-07-01,fall_guys,14151.0,7621.0,117.0,235403.0,304.0,55.0,22.1,585.0,10500000.0,18447.0,4551.0,32.8,,,5.0
2021-08-01,fall_guys,7924.0,-6227.0,-44.0,121527.0,252.0,-52.0,-17.0,507.0,5700000.0,19215.0,768.0,4.2,,,5.0
2021-09-01,fall_guys,5637.0,-2287.0,-28.9,285555.0,158.0,-94.0,-37.3,370.0,4180000.0,27688.0,8473.0,44.1,,,4.0
2021-10-01,fall_guys,4060.0,-1577.0,-28.0,78609.0,142.0,-16.0,-10.1,515.0,2920000.0,16861.0,-10827.0,-39.1,,,3.0
2021-11-01,fall_guys,6139.0,2079.0,51.2,324708.0,181.0,39.0,27.5,502.0,4560000.0,14910.0,-1951.0,-11.6,,,3.0
2021-12-01,fall_guys,4717.0,-1422.0,-23.2,198110.0,169.0,-12.0,-6.6,347.0,3500000.0,15941.0,1031.0,6.9,,,4.0
2022-01-01,fall_guys,4562.0,-155.0,-3.3,144303.0,144.0,-25.0,-14.8,313.0,3040000.0,15741.0,-200.0,-1.3,,,
2022-02-01,fall_guys,4235.0,-327.0,-7.0,154802.0,146.0,2.0,1.4,316.0,3090000.0,9989.0,-5752.0,-36.5,,,
2022-03-01,fall_guys,5235.0,1000.0,23.6,143215.0,120.0,-26.0,-17.8,255.0,3760000.0,20158.0,10169.0,101.8,,,
2022-04-01,fall_guys,6671.0,1436.0,27.4,94340.0,121.0,1.0,0.8,281.0,4940000.0,17782.0,-2376.0,-11.8,,,
2022-05-01,fall_guys,33897.0,27226.0,408.0,338798.0,975.0,854.0,706.0,6738.0,24400000.0,12277.0,-5505.0,-31.0,,,
2022-06-01,fall_guys,60576.0,26679.0,78.7,417490.0,1992.0,1017.0,104.0,4490.0,43900000.0,59920.0,47643.0,388.1,,,
2022-07-01,fall_guys,22570.0,-38006.0,-62.7,200810.0,953.0,-1039.0,-52.2,2312.0,16800000.0,52886.0,-7034.0,-11.7,,,
2022-08-01,fall_guys,16480.0,-6090.0,-27.0,186914.0,573.0,-380.0,-39.9,1471.0,11700000.0,25670.0,-27216.0,-51.5,,,
2022-09-01,fall_guys,6538.0,-9942.0,-60.3,104716.0,350.0,-223.0,-38.9,1040.0,4540000.0,18685.0,-6985.0,-27.2,,,
2022-10-01,fall_guys,5057.0,-1481.0,-22.7,79559.0,246.0,-104.0,-30.0,603.0,3640000.0,12463.0,-6222.0,-33.3,5621.0,,
2022-11-01,fall_guys,5906.0,849.0,16.8,134160.0,223.0,-23.0,-9.3,504.0,4390000.0,7035.0,-5428.0,-43.6,3937.0,-30.0,
2022-12-01,fall_guys,5175.0,-731.0,-12.4,258370.0,241.0,18.0,8.1,504.0,3810000.0,10105.0,3070.0,43.6,4151.0,5.4,
2023-01-01,fall_guys,4319.0,-856.0,-16.5,82631.0,203.0,-38.0,-15.8,545.0,2870000.0,5403.0,-4702.0,-46.5,3578.0,-13.8,
2023-02-01,fall_guys,3538.0,-781.0,-18.1,70762.0,202.0,-1.0,-0.5,478.0,2600000.0,4390.0,-1013.0,-18.7,2691.0,-24.8,
2023-03-01,fall_guys,3598.0,60.0,1.7,39711.0,209.0,7.0,3.5,455.0,2580000.0,3738.0,-652.0,-14.9,2321.0,-13.7,
2023-04-01,fall_guys,7218.0,3620.0,101.0,136683.0,276.0,67.0,32.1,736.0,5360000.0,3467.0,-271.0,-7.2,2160.0,-6.9,
2023-05-01,fall_guys,5936.0,-1282.0,-18.0,115838.0,272.0,-4.0,-1.4,526.0,4260000.0,5727.0,2260.0,65.2,2832.0,31.1,
2023-06-01,fall_guys,5087.0,-849.0,-14.3,90593.0,287.0,15.0,5.5,547.0,3760000.0,4580.0,-1147.0,-20.0,3034.0,7.1,
2023-07-01,fall_guys,4136.0,-951.0,-18.7,117244.0,260.0,-27.0,-9.4,496.0,3060000.0,4015.0,-565.0,-12.3,2836.0,-6.5,
2023-08-01,fall_guys,3799.0,-337.0,-8.1,55393.0,215.0,-45.0,-17.3,471.0,2720000.0,3806.0,-209.0,-5.2,2619.0,-7.7,
2023-09-01,fall_guys,2510.0,-1289.0,-33.9,39426.0,179.0,-36.0,-16.7,392.0,1860000.0,3674.0,-132.0,-3.5,2179.0,-16.8,
2023-10-01,fall_guys,2429.0,-81.0,-3.2,45123.0,154.0,-25.0,-14.0,311.0,1750000.0,3327.0,-347.0,-9.4,2024.0,-7.1,
2023-11-01,fall_guys,2370.0,-59.0,-2.4,55906.0,149.0,-5.0,-3.2,713.0,1760000.0,2732.0,-595.0,-17.9,1780.0,-12.1,
2023-12-01,fall_guys,2780.0,410.0,17.3,72284.0,173.0,24.0,16.0,358.0,2020000.0,4027.0,1295.0,47.4,1742.0,-2.1,
2024-01-01,fall_guys,2848.0,68.0,2.4,88311.0,164.0,-9.0,-5.0,351.0,1980000.0,2848.0,-1179.0,-29.3,1736.0,-0.3,
2024-02-01,fall_guys,2896.0,48.0,1.7,79943.0,164.0,,,586.0,2150000.0,2328.0,-520.0,-18.3,1486.0,-14.4,
2024-03-01,fall_guys,2187.0,-709.0,-24.5,126609.0,134.0,-30.0,-18.3,280.0,1570000.0,2728.0,400.0,17.2,1411.0,-5.0,
2024-04-01,fall_guys,1760.0,-427.0,-20.0,41305.0,128.0,-6.0,-4.5,266.0,1310000.0,2026.0,-702.0,-25.7,1262.0,-10.6,
2024-05-01,fall_guys,1819.0,59.0,3.4,45997.0,130.0,2.0,1.6,385.0,1310000.0,2008.0,-18.0,-0.9,1257.0,-0.4,
2024-06-01,fall_guys,2114.0,295.0,16.2,53924.0,132.0,2.0,1.5,258.0,1570000.0,1893.0,-115.0,-5.7,1280.0,1.8,
2024-07-01,fall_guys,2580.0,466.0,22.0,67191.0,154.0,22.0,17.0,433.0,1880000.0,1954.0,61.0,3.2,1314.0,2.7,
2024-08-01,fall_guys,2192.0,-388.0,-15.0,37791.0,121.0,-33.0,-21.4,267.0,1560000.0,2500.0,546.0,27.9,1552.0,18.1,
2024-09-01,fall_guys,1952.0,-240.0,-10.9,43997.0,97.0,-24.0,-19.8,248.0,1430000.0,2120.0,-380.0,-15.2,1265.0,-18.5,
2024-10-01,fall_guys,1461.0,-491.0,-25.2,48926.0,81.0,-16.0,-16.5,213.0,1050000.0,1750.0,-370.0,-17.5,1032.0,-18.4,
2024-11-01,fall_guys,1484.0,23.0,1.6,42556.0,77.0,-4.0,-4.9,266.0,1100000.0,1414.0,-336.0,-19.2,878.0,-14.9,
2024-12-01,fall_guys,1937.0,453.0,30.5,49155.0,82.0,5.0,6.5,198.0,1440000.0,1647.0,233.0,16.5,847.0,-3.5,
2025-01-01,fall_guys,1504.0,-433.0,-22.4,36281.0,82.0,,,183.0,1010000.0,1321.0,-326.0,-19.8,847.0,0.0,
2025-02-01,fall_guys,1413.0,-91.0,-6.1,43933.0,76.0,-6.0,-7.0,162.0,1050000.0,1300.0,-21.0,-1.6,814.0,-3.9,
2025-03-01,fall_guys,1524.0,111.0,8.0,35319.0,87.0,11.0,14.5,216.0,1100000.0,1113.0,-187.0,-14.4,703.0,-13.6,
2025-04-01,fall_guys,1258.0,-266.0,-17.5,33896.0,79.0,-8.0,-9.2,164.0,936000.0,1289.0,176.0,15.8,769.0,9.4,
2025-05-01,fall_guys,1535.0,277.0,22.0,46103.0,80.0,1.0,1.3,229.0,1110000.0,1128.0,-161.0,-12.5,691.0,-10.1,
2025-06-01,fall_guys,1797.0,262.0,17.1,100725.0,79.0,-1.0,-1.3,186.0,1340000.0,1246.0,118.0,10.5,713.0,3.2,
2025-07-01,fall_guys,1106.0,-691.0,-38.5,61270.0,82.0,3.0,3.8,166.0,822000.0,1154.0,-92.0,-7.4,694.0,-2.7,
